id,sentence,target
4473,"  if it seems like a minor miracle that its star is young enough to be the filmmaker 's son , more incredible still are the clear eyed and quiet irony with which actor and director take on life 's urgent questions",+
4474,  sam 's self is more depressing than entertaining,-
4475,"  nonsensical , dull cyber horror flick is a grim , hollow exercise in flat scares and bad acting",-
4476,  a tone poem pitched between lyricism and violent the most aggressively nerve and neurotic romantic comedy in cinema history,+
4477,"  a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people",+
4478,"  post september 11 , the sum of all fears seems more and , our collective fear without the subject with the intelligence or sincerity it deserves",-
4479,  yet another entry in the sentimental oh those wacky brits genre that was in by the full monty and is still to produce another hit,-
4480,"  the film is a contrivance , as artificial as the video games japanese teens play in a sequence , but it 's an enjoyable one",+
4481,  we have n't seen such hilarity since say it is n't so !,-
4482,"  ultimately , the message of trouble every day seems to be that all sexual desire life 's stasis",+
4483,"  with the monsters this side of a horror spoof , which they is n't , it is more likely to sleep than",-
4484,  a rare and entertaining look behind the that comics from the people laughing in the crowd,+
4485,  the movie is too impressed with its own solemn insights to work up much entertainment value,-
4486,"  captures that perverse element of the where identity , , is and replaced with a other",+
4487,"  in both the writing and cutting , it does not achieve the kind of dramatic that you you end up simply this bit or that , this performance or that",-
4488,"  it 's the cute of discovery and humor between chaplin and kidman that keep this nicely wound not just , but",+
4489,  a well observed and disturbing little movie,+
4490,"  city by the sea is the cinematic equivalent of driving it 's careful , conscientious and makes no major but what saves lives on the does not necessarily make for persuasive viewing",-
4491,"  sure , it 's contrived and predictable , but its performances are so well that the film comes off , even though it 's never as solid as you want it to be",+
4492,"  there 's no real reason to see it , and no real reason not to",-
4493,  one ca n't shake the feeling that crossroads is nothing more than an hour and a half long commercial for britney 's latest album,-
4494,"  feels haphazard , as if the writers thought they could achieve an air of frantic spontaneity by simply in lots of characters doing silly stuff and stirring the pot",-
4495,  a difficult but worthy film that bites off more than it can chew by the of in with some difficult relationships in the present,+
4496,"  all in all , there 's only one thing to root for for everyone",-
4497,"  its lack of quality earns it a place alongside those other two recent dumas , the man in the mask and the",-
4498,  i ca n't remember the last time i saw worse stunt editing or action movie production values than in extreme ops,-
4499,  too lazy to take advantage of its semi humorous premise,-
4500,"  things really get weird , though not particularly scary the movie is all and no content",-
4501,"  helmer devito attempts to do too many things in this story about , , , murder , kids ' tv and revenge",-
4502,"  not a film to rival to live , but a fine little amuse to keep your appetite",+
4503,  this movie is about the worst thing chan has done in the,-
4504,"  as the , sorvino from male persona to female without missing a beat ben is truly funny , playing a kind of gone bad",+
4505,"  you 'll laugh at either the obviousness of it all or its stupidity or maybe even its inventiveness , but the point is , you 'll laugh",+
4506,"  the film has its moments , but they are few and far between",-
4507,"  allen 's been making piffle for a long while , and hollywood ending may be his way of saying that piffle is all that the movie business deserves from him right now",-
4508,"  at just over an hour , home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face",+
4509,"  plays , a who predictably finds it difficult to sustain interest in his profession after the family tragedy too predictably , in fact",-
4510,"  that ` alabama ' manages to be pleasant in spite of its predictability and occasional is due primarily to the of witherspoon ( who is always a joy to watch , even when her material is not first rate )",+
4511,  chaiken ably balances real time rhythms with incident,+
4512,  while 's animation lifts the film firmly above the level of other coming of age films it 's also so jarring that it 's hard to get back into the boys ' story,+
4513,"  like mike does n't win any points for originality it does succeed by following a feel good formula with a winning style , and by offering its target audience of urban kids some welcome role and optimism",+
4514,"  a blessed gift to film geeks and if the 's were your idea of a good time at the movies , this will make you very happy",+
4515,"  the humor is on the belief that in the , elbows in the face and spit in the eye are inherently funny",-
4516,  this slight premise works because of the ideal casting of the masterful british actor ian holm as the aged napoleon,+
4517,  even murphy 's comic timing and charisma ca n't this effort,-
4518,"  the film has a kind of hard , cold effect",+
4519,"  call me a , but i , not once , but three times in this animated sweet film",+
4520,"  so routine , familiar and predictable , it raises the possibility that it wrote itself as a final computer program",-
4521,"  one of those staggeringly well produced , pictures that keep you from one visual marvel to the next , hastily ,",-
4522,  a sugar rocky whose valuable messages are forgotten 10 minutes after the last,-
4523,"  despite its promising cast of characters , big trouble remains a loosely series of which only prove that ` zany ' does n't necessarily mean ` funny '",-
4524,"  so mind numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned",-
4525,  oddly compelling,+
4526,  i 'll go out on a it is n't quite one of the worst movies of the year it 's just merely very bad,-
4527,"  ending aside , there 's much to recommend the film",+
4528,"  my big fat greek wedding is that rare animal known as ` a perfect family film , ' because it 's about family",+
4529,"  bourne , jason bourne he can scale a building like a super hero , he can out any agent , he 'll get the girl he 's super spy !",+
4530,  with exquisite craftsmanship assayas has fashioned an absorbing look at french society,+
4531,"  now by about 20 minutes , this three year old production has enough grandeur and scale to satisfy as grown up escapism",+
4532,"  without ever becoming didactic , director expertly weaves this story of and complex morality",+
4533,  would that greengrass had gone a less for and a lot more for,-
4534,"  an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the",+
4535,  there 's plenty to enjoy in no small part thanks to,+
4536,  cage makes an unusual but pleasantly haunting debut behind the camera,+
4537,  a sharp satire of desperation and cinematic deception,+
4538,  it 's a beautifully accomplished lyrical meditation on a bunch of and characters living in the chelsea hotel,+
4539,"  the screenplay is hugely overwritten , with tons and tons of dialogue most of it given to children",-
4540,  its initial excitement settles into a warmed over pastiche,-
4541,  the beautifully choreographed kitchen is simple but absorbing,+
4542,"  while it 's genuinely cool to hear characters talk about early rap ( sugar hill gang , etc ) , the constant of hip hop can alienate even the audiences",-
4543,  it 's all pretty the most offensive thing about the movie is that hollywood expects people to pay to see it,-
4544,"  rouge is less about a superficial crisis than it is about the need to stay in touch with your own skin , at or 80",+
4545,"  for all its title and narrative , the movie turns out to be not much more than a shaggy human tale",-
4546,"  other than a mildly engaging central romance , hospital is sickly entertainment at best and mind cinematic at worst",-
4547,"  to the changes required of her , but the actress and director peter kosminsky never get the audience to break through the wall her character",+
4548,  an incredibly irritating comedy about thoroughly people manages to the worst excesses of vague without any of its sense of fun or energy,-
4549,"  the biggest problem with satin rouge is lilia herself she 's a cipher , played by an actress who smiles and but does n't reveal an inner life",-
4550,  only two words will tell you what you know when to see it anthony hopkins,+
4551,"  morton is a great actress portraying a complex character , but morvern callar grows less compelling the it meanders from its shocking start",+
4552,"  director jacquot , making his first opera to film translation with tosca , conveys the passion of puccini 's famous love jealousy murder suicide with great cinematic innovation",+
4553,"  it 's the kind of movie you ca n't quite recommend because it is all and not much of a pitch , yet you ca n't bring yourself to it",-
4554,  works because reno does n't become smug or sanctimonious towards the audience,+
4555,  to say that this vapid vehicle is downright and is just as obvious as telling a country that he has severe body,-
4556,  one groan inducing familiarity another,-
4557,"  it 's got the , but not the brains",-
4558,  it is inspirational in how people from such diverse cultures share the same human and spiritual needs,+
4559,  this is a crafted picture that deserves to emerge from the traffic of holiday movies,+
4560,  no reason for anyone to invest their hard bucks into a movie which obviously did n't invest much into itself either,-
4561,"  the film would have been more enjoyable had the balance in favor of water bound action over the land based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged",-
4562,"  a movie just for friday fans , critics be damned if you already like this sort of thing , this is that sort of thing all over again",-
4563,"  this is a nicely handled affair , a film about human darkness but with a light ( yet unsentimental ) touch",+
4564,  more a than a rock concert,-
4565,"  an undeniably moving film to experience , and ultimately that 's what makes it worth a recommendation",+
4566,  an asian neo treasure,+
4567,"  would be an unendurable viewing experience for this ultra new if 26 year old witherspoon were not on hand to inject her pure fantasy character , , with a of old fashioned hollywood magic",+
4568,  and should have gotten to rap it would have the dialogue,-
4569,"  for all its violence , the movie is remarkably dull with only caine making much of an impression",-
4570,  there 's something not entirely convincing about the quiet american and that holds true for both the movie and the title character played by brendan fraser,-
4571,  has something to say but it is a statement and issue worthy of a much more and insight than a melodramatic and wholly predictable thriller,-
4572,"  an incredibly low rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient",+
4573,"  an ugly , pointless , stupid movie",-
4574,"  it would be interesting to hear from the other side , but in talk to her , the women are down for the count",+
4575,"  the story 's scope and are mesmerizing , and mr day lewis with power",+
4576,  superb production values christian bale 's charisma make up for a derivative plot,+
4577,"  after a while , hoffman 's quirks and , particularly his for tearing up on things that seem so real in small doses become annoying and artificial",-
4578,"  it 's getting harder and harder to ignore the fact that hollywood is n't laughing with us , folks it 's laughing at us",-
4579,"  not only are the special effects and narrative flow much improved , and daniel more emotionally this time around as harry , but the film conjures the magic of author j k rowling 's books",+
4580,"  about equal amounts of , passion and talent , beneath clouds establishes as a filmmaker of considerable potential",+
4581,  a journey that is as difficult for the audience to take as it is for the protagonist yet it 's potentially just as rewarding,+
4582,  one resurrection too many,-
4583,"  it may seem long at minutes if you 're not a fan , because it includes of 12 songs at a reunion concert",+
4584,"  in capturing the understated comedic of an ever , genteel yet decadent that can no longer pay its , the film could just as well be the turn of the 20th century into the 21st",+
4585,"  lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless",-
4586,  the cult section of your local video store for the real deal,-
4587,"  the sentimental script has problems , but the actors pick up the slack",+
4588,  it all seemed wasted like deniro 's once promising career and the once grand long beach,-
4589,"  to work , love stories the full emotional and support of a viewer that is made almost impossible by events that set the plot in motion",-
4590,"  hawn 's character is so written , without a trace of sentimentality , and so defined , that every other character seems overlooked and underwritten",+
4591,"  the good chemistry between carmen and is what keeps this slightly disappointing sequel going , with enough amusing banter curse free to keep both kids and parents entertained",+
4592,"  brian de palma is utterly mad cinema mad , set piece mad , style mad it 's a beautiful madness",+
4593,"  shocking in its gore , if unintentionally dull in its lack of poetic",-
4594,"  having never been a huge fan of dickens ' page novel , it surprised me how much pleasure i had watching mcgrath 's version",+
4595,"  the movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all too familiar dramatic arc of the holocaust escape story , his movie of all",-
4596,"  even through its flaws , revolution 9 proves to be a compelling , told film",+
4597,"  eddie murphy and wilson have a cute in i spy , but the movie around them is so often nearly nothing that their charm does n't do a load of good",-
4598,"  looking for leonard just seems to kinda sit in , hoping for a stiff wind to blow it or something",-
4599,  old form moviemaking at its best,+
4600,"  a moody , multi dimensional love story and sci fi mystery , solaris is a thought provoking , haunting film that allows the of the imagination to",+
4601,"  very special effects , brilliantly bold colors and reality ca n't hide the giant ' in stuart little 2 there 's just no story , folks",-
4602,  meant for star wars fans it is there to give them a good time,+
4603,"  no amount of arty the special effects are ` german , ' according to the notes can it anything but laughable",-
4604,"  super troopers is an odd amalgam of comedy genres , existing somewhere between the often literal of early brothers films , and the decidedly foul stylings of their post modern , the farrelly brothers",-
4605,  the timing in nearly every scene seems a half beat off,-
4606,"  astonishing is n't the word neither is incompetent , incoherent or just plain crap indeed , none of these words really gets at the very special type of badness that is deuces wild",-
4607,"  bad company has one of the most moronic screenplays of the year , full of holes that will be obvious even to those who are n't looking for them",-
4608,  friday after next has the same problem that next friday did it 's called where 's chris tucker when you need him ?,-
4609,  mark me down as a non believer in werewolf films that are not serious and on stupidity as a substitute for humor,-
4610,"  notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting put on by and gyllenhaal , and also the unique way shainberg goes about telling what at heart is a sweet little girl",+
4611,  a modest and messy thriller offering more questions than answers,-
4612,"  it 's a beautiful film , full of elaborate and twisted characters and it 's also pretty funny",+
4613,  deftly captures the wise beyond her years teen,+
4614,  can be viewed as pure composition and form film as music,+
4615,  the script by vincent r tries to too many ingredients into one small pot,-
4616,"  producer john high school students and came back with the astonishing revelation that they wanted to see something that did n't talk down to them that , he made swimfan anyway",-
4617,  deliciously slow,+
4618,  a strained comedy that all opportunities for rock to make his mark by serving up the usual chaotic nonsense,-
4619,"  a respectable but uninspired thriller that 's intelligent and considered in its details , but ultimately weak in its impact",-
4620,  a visually flashy but narratively opaque and emotionally vapid exercise in style and,-
4621,  notorious c h o has oodles of vulgar,+
4622,"  to say , the that follow are utter",-
4623,"  all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula which is a waste of de niro , and the other good actors in the cast",-
4624,  it wo n't your gut and it 's not intended to it 's merely a cinematic examination of what makes a joke a joke,+
4625,  two hours of junk,-
4626,"  with or without , k 19 sinks to a ford low",-
4627,"  left me with the visceral of longing , of charlotte 's web of desire and desperation",+
4628,"  occasionally , in the course of art house and slam action flicks , a critic smacks into something truly new",+
4629,"  those who are only mildly curious , i fear , will be put to sleep or by the artsy and often pointless visuals",-
4630,"  this is a winning ensemble comedy that shows can put gentle laughs and equally gentle on the button , just as easily as their counterparts anywhere else in the world",+
4631,  this is a film living far too much in its own head,-
4632,  changing lanes is an for a hollywood movie it 's a well written and occasionally challenging social drama that actually has something interesting to say,+
4633,"  a love for films shines through each frame and the era is with obvious affection , scored to perfection with some tasty beats",+
4634,"  it 's mighty tedious for the viewer who has to with unpleasant characters , hit and miss performances and awkwardly staged scenes",-
4635,  it somehow managed to make its way past my radar and find a small place in my heart,+
4636,"  a cute and sometimes side funny blend of and drop dead gorgeous , starring in what could be her breakthrough role",+
4637,"  nobody seems to have much about any aspect of it , from its cheesy screenplay to the quality of its lighting to its last minute , haphazard theatrical release",-
4638,  with the bourne identity we return to the more traditional action genre,+
4639,  a classy by a legend who may have nothing left to prove but still has the chops and drive to show how its done,+
4640,"  it is a likable story , told with",+
4641,"  there is not a character in the movie with a shred of , not an event that is believable , not a that is not staged , not a moment that is not false",-
4642,  the most amazing super sized of goofball stunts any jackass fan could want,+
4643,"  its points are simultaneously buried , and in the excesses of writer director roger avary",-
4644,  sayles is making a statement about the inability of dreams and aspirations to carry forward into the next generation,+
4645,  the plot twists give i am trying to break your heart an attraction it desperately needed,+
4646,"  cute , funny , heartwarming animated feature film with plenty of slapstick humor for the kids , lots of in jokes for the adults and heart enough for everyone",+
4647,"  dreary , highly annoying ` some body ' will appeal to no one",-
4648,"  movie fans , get ready to take off the other direction",-
4649,"  an unforgettable look at morality , family , and social expectation through the prism of that tradition called marriage",+
4650,  this 100 minute movie only has about 25 minutes of decent material,-
4651,"  hey , at least the title of this film lets you know exactly where it 's",-
4652,  eight legged freaks wo n't the of great monster science fiction flicks that we have come to love,-
4653,"  the film is a fierce dance of destruction its flame like , black and white inspires and",+
4654,  just about the bet for an all around good time at the movies this summer,+
4655,"  triple x is a double agent , and he 's one bad when you 've got the wildly popular vin diesel in the , it adds up to big box office bucks all but guaranteed",+
4656,"  the tasteful little works , the cultural and economic subtext , bringing richer meaning to the story 's",+
4657,  a cleverly crafted but ultimately hollow,-
4658,"  amy and matthew have a bit of a phony relationship , but the film works in spite of it",+
4659,"  the movie has a script ( by paul ) made of wood , and it 's relentlessly , a procession of stagy set pieces with",-
4660,"  if this movie leaves you cool , it also leaves you contemplative",+
4661,"  wraps itself in the of a dark and quirky comedy , but it is n't as quirky as it thinks it is and its comedy is generally mean spirited",-
4662,  i simply ca n't recommend it enough,+
4663,  an alternately fascinating and frustrating documentary,+
4664,"  with more character development this might have been an eerie thriller with better , it could have been a thinking man 's monster movie",-
4665,  not since japanese filmmaker 's have the of combat and the of death been with such operatic grandeur,+
4666,"  what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be",-
4667,  observant intelligence constantly with pretension and sometimes plain wacky throughout maelstrom,-
4668,  just offbeat enough to keep you interested without coming close to bowling you over,+
4669,  wow i have not been this disappointed by a movie in a long time,-
4670,"  audrey has a for roles that her outrageous charm , and in this literate french comedy , she 's as morning glory exuberant as she was in am lie",+
4671,"  with rare , as with the news before it , an attempt is made to a hollywood star into 's wild and the rock once again the",-
4672,"  morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan",+
4673,  sad to say it accurately the rage and alienation that the self of many young people,+
4674,  a sweet tempered comedy that the knee jerk misogyny that passes for humor in so many teenage comedies,+
4675,  so exaggerated and broad that it comes off as annoying rather than charming,-
4676,  the film is like a series of and that never take off,-
4677,"  if this dud had been made in the '70s , it would have been called the have and played for about three weeks in drive",-
4678,  pray does n't have a passion for the material he nonetheless the art and reveals a music scene that transcends culture and race,+
4679,  promises is one film that 's truly deserving of its oscar nomination,+
4680,"  anyone who wants to start writing screenplays can just follow the same from of other films , sell it to the highest and walk away without anyone truly knowing your identity",-
4681,  you 'll have more fun setting fire to yourself in the lot you 'll be more entertained getting hit by a,-
4682,"  witty , vibrant , and intelligent",+
4683,  focuses on joan 's and the audience with spanish about her madness so much that i became mad that i wasted minutes and 9 50 on this 21st century device,-
4684,  plays like a bad blend of an episode of tv 's dawson 's and a recycled and dumbed down version of love story,-
4685,  vampire epic succeeds as spooky action packed trash of the highest order,+
4686,"  it 's played in the most straight faced fashion , with little humor to things up the heavy handed film is almost laughable as a",-
4687,  director andrew niccol demonstrates a wry understanding of the quirks of fame his sense of satire is light and fun,+
4688,  a ode to female by a man who has little clue about either the nature of women or of friendship,-
4689,"  shanghai ghetto may not be as dramatic as roman polanski 's the pianist , but its compassionate spirit soars every bit as high",+
4690,  that the film opens with on a dead dog is not an out of place metaphor,+
4691,  arty gay film,-
4692,"  helmer hudlin tries to make a hip comedy , but his on slapstick defeats the possibility of creating a more darkly",-
4693,"  spielberg is the rare director who does not want to viewers to at or his special effects he just wants them to be part of the action , the of his chosen reality here , thankfully , they are",+
4694,  millions of upon a project of such vast proportions need to reap more rewards than technique and stylish,-
4695,  it appears to have been made by people to whom the idea of narrative logic or is an entirely foreign concept,-
4696,"  takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",-
4697,  consider the film a celluloid test for the intellectual and emotional pedigree of your date and a giant step for a director i admire,-
4698,"  though it is by no means his best work , is a distinguished and distinctive effort by a master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them",+
4699,  i found the movie as against itself as the dysfunctional family it portrays,-
4700,"  while it as the key turning point of the 20th century , and returns again and again to images of in the streets , it 's current",+
4701,  you leave feeling like you 've a long workout without your pulse ever,-
4702,  another entertaining romp from robert rodriguez,+
4703,"  the biggest problem i have ( other than the very sluggish pace ) is we never really see her esther as an actress , even though her talent is supposed to be growing",-
4704,  it 's a satisfying summer blockbuster and worth a look,+
4705,"  it gets onto the screen just about as much of the as one could reasonably expect , and is engrossing and moving in its own right",+
4706,  some decent actors big damage upon their,-
4707,  the situations and jokes are as predictable and as lowbrow as the endless pratfalls the boys take in their high,-
4708,"  too damn weird to pass up , and for the crowd , way ( and better ) than pink tickets",+
4709,"  this is historical filmmaking without the of right thinking , either liberal or conservative mr scorsese 's bravery and integrity in this vision can hardly be",+
4710,"  a b movie funny , sexy , and rousing",+
4711,"  is one of the few reasons to watch the film , which director vera has drenched in music and pitched melodrama",-
4712,  is a surprisingly effective peter spider man,+
4713,"  it 's an interesting effort ( particularly for conspiracy ) , and barry 's cold fish act makes the experience worthwhile",+
4714,"  directing with a sure and measured hand , haneke steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology",+
4715,"  , pleasant from start to finish",-
4716,"  it 's difficult to feel anything much while watching this movie , beyond mild or detached pleasure at the acting",-
4717,"  brings together some of the biggest names in japanese anime , with impressive results",+
4718,"  if your senses have n't been by slasher films and , if you 're a of psychological horror , this is your ticket",+
4719,  intelligent and moving,+
4720,"  worth seeing once , but its charm quickly",-
4721,"  i the and said that if she had to sit through it again , she should ask for a raise",-
4722,  it 's great escapist fun that recreates a place and time that will never happen again,+
4723,"  alternately hilarious and sad , aggravating and soulful , scathing and joyous it 's a",+
4724,  a psychological thriller rife with it makes me say the obvious abandon all hope of a good movie who enter here,-
4725,  with cliche and no opportunity to the material,-
4726,"  afraid to pitch into farce , yet only half hearted in its spy mechanics , all the queen 's men is finally just one long drag",-
4727,  it has all the excitement of eating,-
4728,  never sinks into exploitation,+
4729,"  even if you 're an person , you wo n't find anything to get excited about on this dvd",-
4730,"  the overall effect is so completely inane that one would have to be mighty bored to even think of staying with this for more than , say , ten make that three minutes",-
4731,  there is nothing redeeming about this movie,-
4732,  we may never think of band camp as a or thing again,-
4733,  moderately involving despite bargain basement photography and hackneyed romance,-
4734,  a richly imagined and admirably mature work from a gifted director who definitely has something on his mind,+
4735,  a soulless jumble of assembled cliches and that plays like a 95 minute commercial for nba,-
4736,"  fontaine masterfully creates a portrait of two strong men in conflict , through family history , each seeing himself in the other , neither liking what he sees",+
4737,  the picture is a on what happens when lack of know how mixes with lack of give a damn,-
4738,  there is not an of honesty in the entire production,-
4739,  bland but harmless,-
4740,"  director boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome characters",-
4741,"  look , this is a terrific flick replete with dazzling camera work , dancing and music",+
4742,  rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories,-
4743,  what could have been right at home as a plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination,-
4744,"  first time writer director serry shows a remarkable gift for storytelling with this moving , effective little film",+
4745,  one of the film 's most effective aspects is its soundtrack of regret,+
4746,"  a breezy blend of art , history , and philosophy",+
4747,  just another fish out of water story that barely stays afloat,+
4748,  in and ridiculous at reminding of the discovery of the of god in the trek flick,-
4749,  it is interesting and fun to see goodall and her on the bigger than life screen,+
4750,"  despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j k rowling 's marvelous series into a deadly bore",-
4751,"  it ai n't art , by a long shot , but unlike last year 's lame , this dumas adaptation entertains",+
4752,  while undeniably interesting wore out its welcome well before the end credits about 45 minutes in,-
4753,"  a memorable experience that , like many of his works , presents weighty issues wrapped up in his own idiosyncratic strain of goodwill",+
4754,"  it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense",-
4755,"  director kapur and screenwriters michael and have tried hard to and things , but the finally prove to be too great",-
4756,  mildly amusing,-
4757,"  ` men in black ii creates a new threat for the mib , but recycles the same premise",-
4758,"  guy gets girl , guy loses girl , audience falls asleep",-
4759,  what up out of john c walsh 's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch,+
4760,"  the film would work much better as a video in a museum , where viewers would be free to leave immediately",-
4761,"  this is a story that all the way through with originality , humour and pathos",+
4762,"  claude chabrol has here a thriller without thrills , but that 's okay",+
4763,"  i ca n't begin to tell you how tedious , how resolutely , how thoroughly all of this is , and what a of four fine acting talents",-
4764,  charming and funny ( but ultimately silly ) movie,+
4765,"  uncommonly stylish but equally silly the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions",-
4766,  baby faced renner is eerily convincing as this bland blank of a man with demons within,+
4767,  kinnear 's performance is a career revelation,+
4768,  the tug of war that ensues is as much a snapshot of modern china in as it is a crash course in movie,+
4769,"  this is a stunning film , a one of a kind tour de force",+
4770,  a movie far more cynical and lazy than anything a charlie kaufman might object to,-
4771,"  eight legged freaks is clever and funny , is amused by its special effects , and leaves you feeling like you 've seen a movie instead of an endless trailer",+
4772,"  twenty years later , e t is still a cinematic",+
4773,  what 's surprising is how well it holds up in an era in which computer generated images are the,+
4774,"  a positively thrilling combination of and all the intrigue , betrayal , and murder of a shakespearean tragedy or a soap opera",+
4775,"  it does n't help that the director and cinematographer stephen shoot on video , giving the whole thing a dirty , tasteless feel",-
4776,"  it remains to be seen whether can move beyond the crime land action genre , but then again , who says he has to ?",+
4777,  fails to convince the audience that these will ever be anything more than,-
4778,"  yes , is rote work and predictable , but with a philosophical visual coming right at the end that it",+
4779,  there is a strong directorial on every frame of this stylish film that is able to but is still confident enough to step back and look at the sick character with a sane eye,+
4780,"  everything 's serious , poetic , earnest and sadly dull",-
4781,  claude miller airs out a tight plot with an easy pace and a focus on character drama over crime film complications,+
4782,"  no worse a film than breaking out , and breaking out was utterly charming",+
4783,"  for casual moviegoers who stumble into rules expecting a slice of american pie starring the kid from dawson 's , they 'll probably run out screaming",-
4784,"  the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions",+
4785,"  even these tales of just seven children seem at times too many , although in reality they are not enough every child 's story is what matters this film can only point the way but thank for this",+
4786,  the film is a verbal between two gifted performers,+
4787,"  no worse than a lot of the crap we 've been this summer , and slightly better than men in black 2 as far as slapdash comedies go",-
4788,  most thrillers send audiences out talking about specific scary scenes or startling moments frailty leaves us with the terrifying message that the real horror may be waiting for us at home,+
4789,"  the film takes the of human tragedy and them in lovely costumes , southern california locations and star power",-
4790,"  with we were soldiers , hollywood makes a attempt to tell a story about the vietnam war before the pathology set in",+
4791,  this is really just another genre picture,-
4792,"  beautiful , angry and sad , with a curious sick poetry , as if the marquis de sade had gone in for landscapes",+
4793,"  dogtown is hollow , self indulgent , and worst of all boring",-
4794,"  while certainly clever in spots , this too long , update of shakespeare 's does n't sustain a high enough level of invention",-
4795,"  contains the humor , characterization , poignancy , and intelligence of a bad sitcom",-
4796,"  romantic comedy and 95 filmmaking may seem odd , but they turn out to be delightfully here",+
4797,"  it 's a hoot watching the rock chomp on , pull an out of his back , and through fire !",+
4798,"  thirty years ago , it would have been groundbreaking now it 's just tired",-
4799,"  the master of disguise is funny not ha ha funny , dead circus funny and for all the wrong reasons besides",-
4800,"  though it 's equally in tone , the movie has enough vitality to justify the notion of creating a screen adaptation of evans ' saga of hollywood excess",+
4801,  the movie eventually under the strain of its plot contrivances and its need to,-
4802,"  while some of the camera work is interesting , the film 's mid to low budget is by the surprisingly shoddy makeup work",-
4803,"  the editing is chaotic , the photography grainy and badly focused , the writing unintentionally hilarious , the direction unfocused , the performances as wooden",-
4804,"  what started out as a taut contest of wills between and , into a and silly chase sequence",-
4805,  boasts enough funny dialogue and sharp characterizations to be mildly amusing,+
4806,  ( like ) channel surfing between the discovery channel and a late night made for cable action movie,-
4807,"  crammed with incident , and with passion and energy",+
4808,  there are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a ending,-
4809,  the somber pacing and lack of dramatic make green dragon seem more like medicine than entertainment,-
4810,"  no new plot or changes , just different bodies for sharp to rip through",-
4811,"  the result is somewhat satisfying it still comes from spielberg , who has never made anything that was n't at least watchable but it 's also disappointing to a certain degree",+
4812,"  it is a challenging film , if not always a narratively cohesive one",+
4813,  its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered,-
4814,"  those who would follow haneke on his creepy are rewarded by brutal , committed performances from huppert and magimel",+
4815,"  the kids in the audience at the screening seemed bored , the pratfalls but little else their parents , wise folks that they are , read books",-
4816,  revenge is sweet !,+
4817,"  unlike most teen flicks , swimming takes its time to tell its story , casts mostly little known performers in key roles , and introduces some intriguing ambiguity",+
4818,"  thought provoking and stylish , if also somewhat",+
4819,"  what madonna does here ca n't properly be called acting more accurately , it 's moving and it 's talking and it 's occasionally , sometimes all at once",-
4820,"  the sundance film festival has become so buzz that fans and producers upon each january to out the next great thing ` tadpole ' was one of the films so this year , but it 's really more of the next pretty good thing",+
4821,"  ` god help us , but and cooper are rolling over in their '",-
4822,  a living testament to the power of the eccentric and the strange the fact that it is n't very good is almost the point,-
4823,  the pleasures that it does may be enough to keep many moviegoers some of the more serious minded of other year end movies,+
4824,  a and fresh romantic comedy sexual politics and the challenges of friendships between women,+
4825,"  vividly conveys the passion , creativity , and fearlessness of one of 's most colorful and controversial artists a captivating drama that will speak to the in us all",+
4826,  this film 's relationship to actual tension is the same as what christmas in a can is to actual snow a poor if durable imitation,-
4827,  a thinly excuse for wilson to play his self deprecating act against murphy 's well honed shtick,-
4828,  the soundtrack alone is worth the price of admission,+
4829,"  a static and sugary little half hour , after school special about understanding , stretched out to 90 minutes",-
4830,  it has more than a few moments that are insightful enough to be remembered in the endlessly challenging of moviegoing,+
4831,"  to be influenced by humanity 's greatest shame , reality shows reality shows for god 's sake ! is a crime that should be by",-
4832,"  hampered no , by a self indulgent script that aims for poetry and ends up like satire",-
4833,  those outside show business will enjoy a close look at people they do n't really want to know,+
4834,"  it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and , come down on the issue of ana 's future",-
